PERMNO,date,TICKER,COMNAM,PRC,RET,vwretd,sprtrn
84788,20140930,AMZN,AMAZON COM INC,322.44000,-0.048962,-0.025209,-0.015514
84788,20141031,AMZN,AMAZON COM INC,305.45999,-0.052661,0.021174,0.023201
84788,20141128,AMZN,AMAZON COM INC,338.64001,0.108623,0.021114,0.024534
84788,20141231,AMZN,AMAZON COM INC,310.35001,-0.083540,-0.003662,-0.004189
84788,20150130,AMZN,AMAZON COM INC,354.53000,0.142355,-0.027207,-0.031041
84788,20150227,AMZN,AMAZON COM INC,380.16000,0.072293,0.055974,0.054893
84788,20150331,AMZN,AMAZON COM INC,372.10001,-0.021202,-0.010410,-0.017396
84788,20150430,AMZN,AMAZON COM INC,421.78000,0.133512,0.008776,0.008521
84788,20150529,AMZN,AMAZON COM INC,429.23001,0.017663,0.010290,0.010491
84788,20150630,AMZN,AMAZON COM INC,434.09000,0.011323,-0.019238,-0.021012
84788,20150731,AMZN,AMAZON COM INC,536.15002,0.235113,0.012110,0.019742
84788,20150831,AMZN,AMAZON COM INC,512.89001,-0.043383,-0.059982,-0.062581
84788,20150930,AMZN,AMAZON COM INC,511.89001,-0.001950,-0.033793,-0.026443
84788,20151030,AMZN,AMAZON COM INC,625.90002,0.222724,0.074006,0.082983
84788,20151130,AMZN,AMAZON COM INC,664.79999,0.062150,0.002410,0.000505
84788,20151231,AMZN,AMAZON COM INC,675.89001,0.016682,-0.022227,-0.017530
84788,20160129,AMZN,AMAZON COM INC,587.00000,-0.131516,-0.057148,-0.050735
84788,20160229,AMZN,AMAZON COM INC,552.52002,-0.058739,0.000613,-0.004128
84788,20160331,AMZN,AMAZON COM INC,593.64001,0.074423,0.070554,0.065991
84788,20160429,AMZN,AMAZON COM INC,659.59003,0.111094,0.011725,0.002699
84788,20160531,AMZN,AMAZON COM INC,722.78998,0.095817,0.014354,0.015329
84788,20160630,AMZN,AMAZON COM INC,715.62000,-0.009920,0.002929,0.000906
84788,20160729,AMZN,AMAZON COM INC,758.81000,0.060353,0.038849,0.035610
84788,20160831,AMZN,AMAZON COM INC,769.15997,0.013640,0.002806,-0.001219
84788,20160930,AMZN,AMAZON COM INC,837.31000,0.088603,0.003015,-0.001234
84788,20161031,AMZN,AMAZON COM INC,789.82001,-0.056717,-0.021566,-0.019426
84788,20161130,AMZN,AMAZON COM INC,750.57001,-0.049695,0.040543,0.034174
84788,20161230,AMZN,AMAZON COM INC,749.87000,-0.000933,0.018772,0.018201
84788,20170131,AMZN,AMAZON COM INC,823.47998,0.098164,0.022173,0.017884
84788,20170228,AMZN,AMAZON COM INC,845.03998,0.026182,0.032623,0.037198
84788,20170331,AMZN,AMAZON COM INC,886.53998,0.049110,0.002064,-0.000389
84788,20170428,AMZN,AMAZON COM INC,924.98999,0.043371,0.009657,0.009091
84788,20170531,AMZN,AMAZON COM INC,994.62000,0.075276,0.009335,0.011576
